commit_sha,repo_removed,repo_kept,language,cluster_size,stars_removed,stars_kept
494ee7b61cab3151d3c0ec1f0fddc9c2e47d83c5,cloudflare/wrangler2,cloudflare/workers-sdk,javascript,2,645,4395
f671934de19985285453af15f396b228b4a0858b,cloudflare/wrangler2,cloudflare/workers-sdk,javascript,2,645,4395
5cc8fcfdeaf521c33de7df86c011f7059d3d93da,cloudflare/wrangler2,cloudflare/workers-sdk,javascript,2,645,4395
c7d0d189a40bea786e0425f25d9aa15686f40e92,cloudflare/wrangler2,cloudflare/workers-sdk,javascript,2,645,4395
4bdb35e738c161723b5441e106435fad6ff7473f,cloudflare/wrangler2,cloudflare/workers-sdk,javascript,2,645,4395
a6ddbdb2b67978377dda1acda289fe21eb0892bd,cloudflare/wrangler2,cloudflare/workers-sdk,javascript,2,645,4395
e63539de64308cd0706b8876a22e1b1ccabe0721,cloudflare/wrangler2,cloudflare/workers-sdk,javascript,2,645,4395
a31ee0b0c793532382f0473afd04d3c241d04724,cloudflare/wrangler2,cloudflare/workers-sdk,javascript,2,645,4395
5d49380ea07a55b242b1337056bb9fca291c7785,cloudflare/wrangler2,cloudflare/workers-sdk,javascript,2,645,4395
351e1e1efa808a19b84b5888d747cd4aa4566921,cloudflare/wrangler2,cloudflare/workers-sdk,javascript,2,645,4395
ade0aed5246a5d3379961d06e1d504c6ceb0b1a8,cloudflare/wrangler2,cloudflare/workers-sdk,javascript,2,645,4395
3b81fc6a75857d5c158824f17d9316adc55878fc,cloudflare/wrangler2,cloudflare/workers-sdk,javascript,2,645,4395
ce48b77c4e8796359d86e88f8b18c36b653757cb,cloudflare/wrangler2,cloudflare/workers-sdk,javascript,2,645,4395
71ab9816dc80acba346073bc9d02bd45d1fb5b9a,cloudflare/wrangler2,cloudflare/workers-sdk,javascript,2,645,4395
a19d6a64af3f25336e213205c7e5e628f1a60c2c,cloudflare/wrangler2,cloudflare/workers-sdk,javascript,2,645,4395
e8f62bbfae6cb2c705a630e0d1252d16399c3660,cloudflare/wrangler2,cloudflare/workers-sdk,javascript,2,645,4395
e0831c6ead822c7a03f10d87ce44e8c4d0f05ef2,cloudflare/wrangler2,cloudflare/workers-sdk,javascript,2,645,4395
0386553d80ad10717f5294e8a5979af703cbcbf8,cloudflare/wrangler2,cloudflare/workers-sdk,javascript,2,645,4395
f78590381abafcb2e66f061acf483b0dcf11a06b,cloudflare/wrangler2,cloudflare/workers-sdk,javascript,2,645,4395
d4c61587094a2a2ceee35acfb3619c95e0a993fe,cloudflare/wrangler2,cloudflare/workers-sdk,javascript,2,645,4395
313a409aacedecbd1201efb8e7bb5747a3a261e3,cloudflare/wrangler2,cloudflare/workers-sdk,javascript,2,645,4395
ab448708ba725b74927aff4d6e3f1f97dc9c2135,cloudflare/wrangler2,cloudflare/workers-sdk,javascript,2,645,4395
f31a6f4b77e751ccaca11342ef51884926b5e93b,cloudflare/wrangler2,cloudflare/workers-sdk,javascript,2,645,4395
4dc94fd5209d17663fac32ac99f7f20d17f1f07f,cloudflare/wrangler2,cloudflare/workers-sdk,javascript,2,645,4395
f76652c09453090c7b40da7d916929ec45f3ca8d,cloudflare/wrangler2,cloudflare/workers-sdk,javascript,2,645,4395
da39573016d628ee87ddd9f63a8f7dbe77f24e5f,cloudflare/wrangler2,cloudflare/workers-sdk,javascript,2,645,4395
d5bffdef00618f1d441837a725779d35b176911e,cloudflare/wrangler2,cloudflare/workers-sdk,javascript,2,645,4395
448fec88a19cad5a3ab7a4d7ff99e166cd485ea2,cloudflare/wrangler2,cloudflare/workers-sdk,javascript,2,645,4395
ac0083f9b520dc70e8f700d1aad4521231782bfa,cloudflare/wrangler2,cloudflare/workers-sdk,javascript,2,645,4395
42c7ef04385094c77f0c2830134fc38b2dc39b02,cloudflare/wrangler2,cloudflare/workers-sdk,javascript,2,645,4395
a066e245ef5357c33609d19797123ec9b6c294f7,cloudflare/wrangler2,cloudflare/workers-sdk,javascript,2,645,4395
79fd529e62b715405aacc0e643a20ce1af3df9f2,cloudflare/wrangler2,cloudflare/workers-sdk,javascript,2,645,4395
5e5bbc1026b1219e4e9ec36951ed7d5b4188d5a2,cloudflare/wrangler2,cloudflare/workers-sdk,javascript,2,645,4395
21d0b5386568cfa4724e436d2c000cf090db1473,cloudflare/wrangler2,cloudflare/workers-sdk,javascript,2,645,4395
2d08dd6ec22d136007d9be99ec4c29351191c0c7,cloudflare/wrangler2,cloudflare/workers-sdk,javascript,2,645,4395
6f63eaa8931d2a33cd0fce95f88cc0dcff998d85,cloudflare/wrangler2,cloudflare/workers-sdk,javascript,2,645,4395
6d887db1133595a5eae88cc95dac0935113d8674,cloudflare/wrangler2,cloudflare/workers-sdk,javascript,2,645,4395
b35617b32456b742f716e2b2b0fa04839dd19a9e,cloudflare/wrangler2,cloudflare/workers-sdk,javascript,2,645,4395
4a9ba90b3f64e94da90343f2694d42f78777e4b7,cloudflare/wrangler2,cloudflare/workers-sdk,javascript,2,645,4395
7329b3f1ba11d69ff242e0647d1de6f436b30082,cloudflare/wrangler2,cloudflare/workers-sdk,javascript,2,645,4395
e456952b46fccdb010730dbd91be332ee92f1e3d,cloudflare/wrangler2,cloudflare/workers-sdk,javascript,2,645,4395
92bb8a529271219c5f4539582bd79bbf9dd83a7b,cloudflare/wrangler2,cloudflare/workers-sdk,javascript,2,645,4395
6457fb38c7fbce39c396562bc3324b945114c672,cloudflare/wrangler2,cloudflare/workers-sdk,javascript,2,645,4395
e1eff943ec4c073c3d1ba2c1910806d68f98e5a3,cloudflare/wrangler2,cloudflare/workers-sdk,javascript,2,645,4395
e5390082ff85f3d39c702895d72c7172776506c0,cloudflare/wrangler2,cloudflare/workers-sdk,javascript,2,645,4395
e653edf7446817c2ca36515e9cefd2f5bd16f98f,cloudflare/wrangler2,cloudflare/workers-sdk,javascript,2,645,4395
926bad5c75882e2dabb700f60f0da6ba3c4298f5,cloudflare/wrangler2,cloudflare/workers-sdk,javascript,2,645,4395
b8458f78e5559139bdb7d4d44421d69dcb4d31e8,cloudflare/wrangler2,cloudflare/workers-sdk,javascript,2,645,4395
